,Wine,Pairing,Food
78,Sauvignon Blanc,15.2276,Meaty and Oily Fish
79,Bordeaux Blend White,7.1411,Meaty and Oily Fish
80,Riesling,6.0936,Meaty and Oily Fish
81,Sauvignon Blanc - Semillon,5.4765,Meaty and Oily Fish
82,Chardonnay - Pinot Noir,5.3491,Meaty and Oily Fish
83,Glera - Pinot Noir,2.4811,Meaty and Oily Fish
84,Champagne Blend,35.3989,"Shellfish, Crab and Lobster"
85,Chardonnay,24.2793,"Shellfish, Crab and Lobster"
86,Chardonnay - Pinot Noir,7.2465,"Shellfish, Crab and Lobster"
87,Albarino (Alvarinho),4.3805,"Shellfish, Crab and Lobster"
88,Pinot Noir,4.075,"Shellfish, Crab and Lobster"
89,Melon de Bourgogne,1.5584,"Shellfish, Crab and Lobster"
90,Muscat,1.3964,"Shellfish, Crab and Lobster"
91,Sauvignon Blanc,80.4396,Goat cheese and feta
92,Sauvignon Blanc - Semillon,1.2895,Goat cheese and feta
93,Pinot Grigio,1.2679,Goat cheese and feta
94,Riesling,1.1435,Goat cheese and feta
95,Semillon,1.0204,Goat cheese and feta
96,Pinot Blanc,0.6029,Goat cheese and feta
97,Pinot Gris,0.4366,Goat cheese and feta
98,Chardonnay - Viognier,0.4036,Goat cheese and feta
99,Cava Blend,52.0402,Manchego and parmesan
100,Sangiovese,3.1689,Manchego and parmesan
101,Tinta Negra Mole,2.8291,Manchego and parmesan
102,Macabeo (Viura),2.4434,Manchego and parmesan
103,Negroamaro,2.2978,Manchego and parmesan
104,Nerello Mascalese,2.2924,Manchego and parmesan
105,Muscat,1.9094,Manchego and parmesan
106,Pinot Grigio,1.424,Manchego and parmesan
107,Palomino,14.2308,Cheddar & gruyere
108,Muscat Blanc a Petits Grains,14.0812,Cheddar & gruyere
109,Chenin Blanc,10.5636,Cheddar & gruyere
110,Chardonnay,8.3588,Cheddar & gruyere
111,Sauvignon Blanc,7.2235,Cheddar & gruyere
112,Muscat,6.8316,Cheddar & gruyere
113,Pinot Gris,6.746,Cheddar & gruyere
114,Gewurztraminer,5.4386,Cheddar & gruyere
115,Pinot Grigio,5.1151,Cheddar & gruyere
116,Sauvignon Blanc - Semillon,55.3048,Blue cheeses
117,Port Blend Red,20.2745,Blue cheeses
118,Semillon,8.1605,Blue cheeses
119,Riesling,5.1295,Blue cheeses
120,Bordeaux Blend White,4.7037,Blue cheeses
121,Vidal,3.1507,Blue cheeses
122,Cabernet Franc,0.7319,Blue cheeses
123,Gruner Veltliner,0.3893,Blue cheeses
124,Chardonnay,0.011,Brie and Camembert
125,Riesling,24.5696,Fruit-based desserts
126,Muscat,5.528,Fruit-based desserts
127,Sherry Blend,4.9238,Fruit-based desserts
128,Port Blend White,4.797,Fruit-based desserts
129,Chenin Blanc,4.7909,Fruit-based desserts
130,Semillon,4.4476,Fruit-based desserts
131,Tokaji Blend,2.9876,Fruit-based desserts
132,Port Blend Red,72.6723,Chocolate and Caramel
133,Grenache (Garnacha),2.1446,Chocolate and Caramel
134,Grenache - Mourvedre - Syrah,0.8093,Chocolate and Caramel
135,Cabernet Sauvignon,0.8053,Chocolate and Caramel
136,Nero d\'Avola,0.4565,Chocolate and Caramel
137,Muscat,14.5949,Cakes and cream
138,Champagne Blend,12.4557,Cakes and cream
139,Muscat Blanc a Petits Grains,12.3004,Cakes and cream
140,Bual (Malvasia Fina),4.3072,Cakes and cream
141,Tinta Negra Mole,4.2132,Cakes and cream
142,Brachetto,4.0906,Cakes and cream
